,0,32.00,32.00,34.88,976.64,,,,,,,,,,,
377,1623.1,Istutuskaivanto kuljetus loppusijoitukseen sis vastottomaksu savi,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,savi,33,m3ktr,65,0.00,0.00,9.00,12.80,422.4,2.13,23.93,32.2137,1063.05
436,1621,Putkikaivanto kuljetus läjitykseen/välivarastoon,Ylitalonkatu,savi,53,m3ktr,65,0.00,0.00,9.00,12.80,678.4,2.13,23.93,32.2137,1707.33
378,1831,Asennusalusta putkien tai rakenteiden alusta KaM 0-16,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,kam0_16,3,m3rtr,53,0.00,0.00,9.00,10.67,32.01,5.33,25.00,32.35,97.05
379,1832,Alkutäyttö putki- rumpu- ja johtokaivannon täyttö KaM 0-16,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,kam0_16,5,m3rtr,53,0.00,0.00,9.00,10.67,53.35,5.33,25.00,32.35,161.75
380,1833,Lopputäyttö putki- rumpu- ja johtokaivannon täyttö sora 0-16,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,kam0_16,15,m3rtr,53,0.00,0.00,9.00,10.67,160.05,5.33,25.00,32.35,485.25
438,1832,Alkutäyttö putki- rumpu- ja johtokaivannon täyttörakenne,Ylitalonkatu,kam0_16,27,m3rtr,53,0.00,0.00,9.00,10.67,288.09,5.33,25.00,32.35,873.45
449,2145.3,Murskepäällyste m2tr paksuus 100 mm (liikunta- ja virkistyspaikat; raitit),Ylitalonkatu,kam0_16,7,m2tr,53,0.00,0.00,9.00,10.67,74.69,5.33,25.00,32.35,226.45
381,2112,Suodatinkangas N3 kiviainesarina,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,SuodatinkangasN3,240,m2tr,51,1.00,0.00,0.00,,0,0.32,1.32,1.4388,345.31
382,2112,Suodatinkangas N3 kantava kasvualusta,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,SuodatinkangasN3,70,m2tr,51,1.00,0.00,0.00,,0,0.32,1.32,1.4388,100.72
383,2121,Jakava kerros KaM 0-63,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,kam0_63,75,m3rtr,53,0.00,0.00,9.00,10.67,800.25,5.33,25.00,32.35,2426.25
441,2121,Jakava kerros,Ylitalonkatu,kam0_63,1013,m3rtr,53,0.00,0.00,9.00,10.67,10808.71,5.33,25.00,32.35,32770.55
385,2141.1,Asfalttibetonirakenne liimaus alue 1000-15000 m2,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,ab_liimaus,3840,m2tr,61,0.00,0.35,0.00,,0,,0.35,0.3815,1464.96
387,2141.11,Kulutuskerroksen asfalttibetoni AB 11 40 mm (n. 100 kg/m2) < 1000 m2 liikennöity alue,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,ab11_40mm,183,m2tr,61,0.00,12.55,0.00,,0,,12.55,13.6795,2503.35
388,2141.11,Massatasaus TAS alue < 1000 m2,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,tas,0,,61,0.00,50.00,0.00,,0,,50.00,54.5,0
389,2141.3,Kivimastiksiasfaltti (SMA) 16 40 mm (n. 100 kg/m2) 1000-15000 m2 liikennöity alue,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,sma16_0,2390,m2tr,61,0.00,12.05,0.00,,0,,12.05,13.1345,31391.46
390,2143.11,Betonikivipäällyste betonikivi 80 mm harmaa sileä,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,betonikivi_80mm,4,m2tr,57,38.80,0.00,0.00,,0,,38.80,42.292,169.17
391,2143.11,Betonikivipäällyste taustanupu 150 mm harmaa sileä,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,taustanupu150mm,690,mtr,57,21.00,0.00,0.00,,0,,21.00,22.89,15794.1
392,2143.11,Betonilaattapäällyste 50 mm harmaa sileä,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,betonilaatta_50mm_harmaa,2125,m2tr,57,26.50,0.00,0.00,,0,,26.50,28.885,61380.62
393,2143.11,Betonilaattapäällyste 80 mm harmaa sileä,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,betonilaatta_80mm_harmaa,100,m2tr,57,31.00,0.00,0.00,,0,,31.00,33.79,3379
394,2143.11,Betonilaattapäällyste betonilaatta BO mm värillinen profiloitu,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,betonilaatta_varillinen_profiloitu,15,m2tr,57,148.50,0.00,0.00,,0,,148.50,161.865,2427.98
395,2211.21,Reunatuki upotettava betoninen suora 170x300 mm harmaa,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,bet_reunakivi_upotettava_170_300,18,mtr,57,34.50,0.00,0.00,,0,,34.50,37.605,676.89
396,2211.22,Reunatuki liimattava betoninen suora 120x130 mm harmaa,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,bet_reunakivi_liimattava_120_130,72,mtr,57,15.00,0.00,0.00,,0,,15.00,16.35,1177.2
397,2211.22,Reunatuki liimattava betoninen suora 60x130 mm harmaa,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,bet_reunakivi_liimattava_60_130,16,mtr,57,15.00,0.00,0.00,,0,,15.00,16.35,261.6
398,2211.22,Reunatuki liimattava betoninen suora 80x130 mm harmaa,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,bet_reunakivi_liimattava_80_130,893,mtr,57,14.00,0.00,0.00,,0,,14.00,15.26,13627.18
450,2211.22,Reunatuki liimattava betoninen reunatuki,Ylitalonkatu,bet_reunakivi_liimattava_80_130,1002,mtr,57,14.00,0.00,0.00,,0,,14.00,15.26,15290.52
399,2311.1,Tuotteistettu kasvualusta 150 mm nurmikko R4 kuiva niitty,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,kasvualusta_r4,140,m2tr,57,5.00,0.00,0.00,,0,,5.00,5.45,763
400,2311.1,Tuotteistettu kasvualusta 150 mm nurmikko R4 kuiva niitty kunnostettava nurmikko,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,kasvualusta_r4,160,m2tr,57,5.00,0.00,0.00,,0,,5.00,5.45,872
401,2311.3,Kantava kasvualusta biohiili,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,kasvualusta_biohiili,35,m3rtr,57,50.00,0.00,0.00,,0,,50.00,54.5,1907.5
402,2311.3,Ilmastus- ja kastelukaivo,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,ilmastus_kastelukaivo,2,kpl,57,200.00,0.00,0.00,,0,,200.00,218,436
403,2311.3,Ilmastus- ja kastelukerros KaM 32-64,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,kam32_64,7,m3rtr,53,0.00,0.00,9.00,10.67,74.69,5.33,25.00,32.35,226.45
404,2312,Kate sepeli m3rtr,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,katesepeli,1,m3rtr,53,0.00,0.00,9.00,10.67,10.67,5.33,25.00,32.35,32.35
405,2321.1,Kylvönurmikko kunnossapitoluokka R4,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,nurmikko_r4,300,m2tr,57,2.00,0.00,0.00,1.28,384,0.64,3.92,4.8828,1464.84
406,2331,Kastelupussi,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,kastelupussi,3,kpl,57,50.00,0.00,0.00,,0,32.00,82.00,89.38,268.14
407,2331,Puun tuholaissuoja,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,puun_tuholaisuoja,3,kpl,57,50.00,0.00,0.00,,0,32.00,82.00,89.38,268.14
408,2331.2,Katupuu lehtipuu < 7 m rym 12-14 cm tilaaja hankkii,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,katupuu_7m,3,kpl,57,150.00,0.00,0.00,,0,160.00,310.00,337.9,1013.7
409,2331.2,Katupuun maaritilä juuristosuoja 1500x1500 mm sis asennuskehikko,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,katupuun_juuristosuoja,3,kpl,57,50.00,0.00,0.00,,0,32.00,82.00,89.38,268.14
410,2331.2,Puun runkosuoja metallinen yksikköhinnalla,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,puun_runkosuoja,3,kpl,57,50.00,0.00,0.00,,0,32.00,82.00,89.38,268.14
411,3121.11,Hulevesiviemäri vietto betoniputki 225 mm B pyöreä,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,hvb_225mm,5,mtr,54,35.00,0.00,0.00,6.40,32,16.00,57.40,65.626,328.13
412,3122.4,Hulevesikaivo betoniset valmisosat sis teleskooppi 0=800 mm h=2 m,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,hvkb_800,4,kpl,54,650.00,0.00,0.00,128.00,512,64.00,842.00,979.03,3916.12
413,3125,HV-viemärin liitos betonikaivoon reiän poraus (timanttiporaus),Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,timanttiporaus,0,kpl,64,0.00,150.00,0.00,,0,32.00,182.00,198.38,0
414,3125,Liitos: HV-viemärin liitos nykyiseen viemäriin yksikköhinnalla,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,liitos_hv,4,kpl,64,0.00,150.00,0.00,,0,32.00,182.00,198.38,793.52
415,3261.2,Liikennemerkin vakiomerkki ei sis jalusta ja pylväs liikennemerkki 600-640 mm R2,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,liikennemerkki_600_640r2,5,kpl,57,92.00,0.00,0.00,,0,32.00,124.00,135.16,675.8
416,3261.2,Liikennemerkki sis vakiomerkki jalusta ja pylväs liikennemerkki 600-640 mm R2,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,liikennemerkki_600_640r2,12,kpl,57,92.00,0.00,0.00,,0,32.00,124.00,135.16,1621.92
417,3261.2,Liikennemerkki sis vakiomerkki jalusta pylväs liik.merkki 900 mm R2 varoi- ja väistämis,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,liikennemerkki_900r2,2,kpl,57,92.00,0.00,0.00,,0,32.00,124.00,135.16,270.32
418,3261.3,Opastusmerkki 2-4 m2 R2 sis opastustaulu jalustat pylväät ja kiinnikkeet,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,opastusmerkki_r2,2,kpl,57,92.00,0.00,0.00,,0,32.00,124.00,135.16,270.32
419,3263.1,Pyöräsymboli kestomerkintä yksikköhinnalla,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,pyorasymboli,12,kpl,57,92.00,0.00,0.00,,0,,92.00,100.28,1203.36
420,3263.77,Ajokaistaviiva pituus 70 m väli 70 m leveys 02 m yksikköhinnalla,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,ajokaistaviiva,700,mtr,57,2.00,0.00,0.00,,0,,2.00,2.18,1526
421,3263.2,Pienmerkintä kestomerkintä yksikköhinnalla maalatut nopeusmerkit,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,maalatut_nopeusmerkit,4,kpl,57,110.00,0.00,0.00,,0,,110.00,119.9,479.6
422,3263.21,Suojatie yksikköhinnalla,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,suojatie,30,m2tr,57,7.00,0.00,0.00,,0,,7.00,7.63,228.9
461,3263.21,Suojatie yksikköhinnalla,Ylitalonkatu,suojatie,6,m2tr,57,7.00,0.00,0.00,,0,,7.00,7.63,45.78
423,3321.11,Kaapelikaivannon suojaputki muovi TEL PVC 110x32 mm B sis tiiviste,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,kaapelisuojaputki_tel_110_lk_b,824,mtr,54,5.00,0.00,0.00,,0,5.33,10.33,11.2597,9277.99
424,3321.11,Kaapelikaivannon suojaputki muovi TEL PVC 110x53 mm A sis tiiviste,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,kaapelisuojaputki_tel_110_lk_a,80,mtr,54,5.00,0.00,0.00,,0,5.33,10.33,11.2597,900.78
425,3360,Valaistusrakenteet,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,valaistusrakenteet,1,kpl,55,4500.00,0.00,0.00,,0,,4500.00,4905,4905
426,1111,Pensasaidan suojaus,Ylitalonkatu,pensaiden_suojaus,300,mtr,65,0.00,0.00,0.00,4.27,1281,3.20,7.47,10.1823,3054.69
427,1121,Tukimuurin suojaus,Ylitalonkatu,tukimuurin_suojaus,20,m,65,0.00,0.00,0.00,128.00,2560,64.00,192.00,270.53,5410.6
428,1121,Tukimuurin suojaus,Ylitalonkatu,tukimuurin_suojaus,25,m,65,0.00,0.00,0.00,128.00,3200,64.00,192.00,270.53,6763.25
439,1833,Lopputäyttö materiaali hankkeen sisältä,Ylitalonkatu,kaivumaa,19,m3rtr,53,0.00,0.00,9.00,12.80,243.2,5.33,27.13,35.7017,678.33
440,2112,Suodatinkangas,Ylitalonkatu,suodatinkangas_kayttoluokka_n3,127,m2tr,51,1.00,0.00,9.00,10.67,1355.09,5.33,26.00,33.44,4246.88
444,2141.11,Kulutuskerroksen asfalttibetoni AB 22 50 mm (n. 125 kg/m2) asfaltoitava alue 1000–15000 m2 liikennöity,Ylitalonkatu,ab_22_50mm,2556,m2tr,61,0.00,9.75,0.00,,0,,9.75,10.6275,27163.89
446,2141.11,Kulutuskerroksen asfalttibetoni AB 22 50 mm (n. 125 kg/m2) asfaltoitava alue < 1000 m2 liikennöity alue,Ylitalonkatu,ab_22_50mm,171.5,m2tr,61,0.00,9.75,0.00,,0,,9.75,10.6275,1822.62
445,2141.11,Kulutuskerroksen asfalttibetoni AB 11 50 mm (n. 125 kg/m2) asfaltoitava alue 1000–15000 m2 liikennöity,Ylitalonkatu,ab_11_50mm,982,m2tr,61,0.00,11.30,0.00,,0,,11.30,12.317,12095.29
447,2143.11,Betonilaattapäällyste,Ylitalonkatu,betonilaatta_50_mm,87,m2tr,57,26.50,0.00,0.00,,0,,26.50,28.885,2513
448,2143.11,Betonikivipäällyste,Ylitalonkatu,betonikivi_80_mm_harmaa_silea,44,m2tr,57,35.90,0.00,0.00,,0,,35.90,39.131,1721.76
451,2311.1,Tuotteistettu kasvualusta 150 mm nurmikko R2-R3,Ylitalonkatu,kasvualusta_r2_r3,1064,m2tr,57,5.00,0.00,0.00,4.27,4543.28,2.13,11.40,14.466,15391.82
452,2321.1,Kylvönurmikko hoitoluokka R3,Ylitalonkatu,nurmikkor3,1064,m2tr,57,25.00,0.00,0.00,0.43,457.52,0.43,25.86,28.3874,30204.19
453,3121.12,Hulevesiviemäri (viettoviemäri),Ylitalonkatu,200_mm_PP_SN8,44,mtr,54,25.00,0.00,0.00,10.67,469.48,10.67,46.34,55.6106,2446.87
454,3122.1,Tarkastuskaivo hulevesiviemäri,Ylitalonkatu,svtk560_500M,4,kpl,54,300.00,0.00,0.00,128.00,512,64.00,492.00,597.53,2390.12
455,3122.5,Hulevesikaivo muovi,Ylitalonkatu,svk_560_500M,15,kpl,54,300.00,0.00,0.00,128.00,1920,64.00,492.00,597.53,8962.95
456,3125,Liitosrakenne: hulevesiviemärin liitos nykyiseen viemäriin yksikköhinnalla,Ylitalonkatu,liitos_viemariin,8,kpl,54,350.00,0.00,0.00,64.00,512,32.00,446.00,516.76,4134.08
457,3261.2,Liikennemerkki sis. vakiomerkki jalusta ja pylväs,Ylitalonkatu,liikennemerkki_600_640_mm_R2,12,kpl,54,0.00,0.00,0.00,64.00,768,64.00,128.00,170.14,2041.68
459,3261.2,Liikennemerkin vakiomerkki ei sis. jalusta ja pylväs,Ylitalonkatu,liikennemerkki_600_640_mm_R2,2,kpl,54,0.00,0.00,0.00,64.00,128,64.00,128.00,170.14,340.28
458,3261.2,Liikennemerkin lisäkilpi ei sis. jalusta ja pylväs,Ylitalonkatu,lisakilpi_320_320_mm_alumiini_R2,2,kpl,54,0.00,0.00,0.00,,0,64.00,64.00,69.76,139.52
460,3261.2,Liikennemerkin lisäkilpi ei sis. jalusta ja pylväs,Ylitalonkatu,lisakilpi_600_250_mm_alumiini_R2,1,kpl,57,0.00,0.00,0.00,,0,64.00,64.00,69.76,69.76
462,3321,Kaapelikaivannon suojaputki taipuisa yksikköhinnalla,Ylitalonkatu,kaapelisuojaputki,525,mtr,54,5.00,0.00,0.00,,0,8.00,13.00,14.17,7439.25
463,3361,Pylväs: ajoratapylväs 8 m (sis. jalusta pylväs ja valaisinvarsi),Ylitalonkatu,ajopylvas,13,kpl,55,2000.00,0.00,0.00,,0,5.33,2005.33,2185.8097,28415.53
386,2141.11,Kulutuskerroksen asfalttibetoni AB 11 40 mm (n. 100 kg/m2) 1000-15000 m2 pun. asfaltti,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,ab11_40mmpun,1450,m2tr,61,0.00,22.85,0.00,,0,,22.85,24.9065,36114.43
