Id,Littera,Rakennusosa,Paikka,Materiaali,Määrä,Yksikkö,KL,€/yks. mat.,€/yks. alih.,€/yks. kulj.,€/yks. konetyö,€yhteensa konetyö,€/yks. miestyö,€/yks,€/yks sis.kate,€yht
854,31132,Betonitarkastuskaivo 800 mm EK-kaivo,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,jvtk800ek,7,kpl,54,641.58,0.00,0.00,60.00,420,64.00,765.58,856.3622,5994.54
884,31132,Betonitarkastuskaivo 800 mm EK-kaivo,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,jvtk800ek,5,kpl,54,641.58,0.00,0.00,60.00,300,64.00,765.58,856.3622,4281.81
917,31132,Betonitarkastuskaivo 800 mm EK-kaivo,Juolukkatie D 6753 007,jvtk800ek,3,kpl,54,641.58,0.00,0.00,60.00,180,64.00,765.58,856.3622,2569.09
944,31132,Betonitarkastuskaivo 800 mm EK-kaivo,Luumutie D 3267 002,jvtk800ek,4,kpl,54,641.58,0.00,0.00,60.00,240,64.00,765.58,856.3622,3425.45
855,3114,Jäteveden tonttiliittymä,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,jv_tonttiliit,18,kpl,54,50.00,0.00,0.00,120.00,2160,160.00,330.00,403.45,7262.1
885,3114,Jäteveden tonttiliittymä,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,jv_tonttiliit,13,kpl,54,50.00,0.00,0.00,120.00,1560,160.00,330.00,403.45,5244.85
918,3114,Jäteveden tonttiliittymä,Juolukkatie D 6753 007,jv_tonttiliit,6,kpl,54,50.00,0.00,0.00,120.00,720,160.00,330.00,403.45,2420.7
945,3114,Jäteveden tonttiliittymä,Luumutie D 3267 002,jv_tonttiliit,9,kpl,54,50.00,0.00,0.00,120.00,1080,160.00,330.00,403.45,3631.05
856,3121121,Hv-viemäri (vietto) M 200 SN 8,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,hv200m,94,mtr,54,10.70,0.00,0.00,2.00,188,8.00,20.70,23.293,2189.54
886,3121121,Hv-viemäri (vietto) M 200 SN 8,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,hv200m,60,mtr,54,10.70,0.00,0.00,2.00,120,8.00,20.70,23.293,1397.58
919,3121121,Hv-viemäri (vietto) M 200 SN 8,Juolukkatie D 6753 007,hv200m,94,mtr,54,10.70,0.00,0.00,2.00,188,8.00,20.70,23.293,2189.54
946,3121121,Hv-viemäri (vietto) M 200 SN 8,Luumutie D 3267 002,hv200m,8,mtr,54,10.70,0.00,0.00,2.00,16,8.00,20.70,23.293,186.34
857,3121121,Hv-viemäri (vietto) M 250 SN 8,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,hv250m,213,mtr,54,16.50,0.00,0.00,2.00,426,8.00,26.50,29.615,6308
887,3121121,Hv-viemäri (vietto) M 250 SN 8,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,hv250m,134,mtr,54,16.50,0.00,0.00,2.00,268,8.00,26.50,29.615,3968.41
947,3121121,Hv-viemäri (vietto) M 250 SN 8,Luumutie D 3267 002,hv250m,175,mtr,54,16.50,0.00,0.00,2.00,350,8.00,26.50,29.615,5182.62
858,31232,Betonitarkastuskaivo 800 mm EK-kaivo,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,hvtk800ek,7,kpl,54,605.53,0.00,0.00,60.00,420,64.00,729.53,817.0677,5719.47
890,31232,Betonitarkastuskaivo 800 mm EK-kaivo,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,hvtk800ek,5,kpl,54,605.53,0.00,0.00,60.00,300,64.00,729.53,817.0677,4085.34
920,31232,Betonitarkastuskaivo 800 mm EK-kaivo,Juolukkatie D 6753 007,hvtk800ek,3,kpl,54,605.53,0.00,0.00,60.00,180,64.00,729.53,817.0677,2451.2
948,31232,Betonitarkastuskaivo 800 mm EK-kaivo,Luumutie D 3267 002,hvtk800ek,4,kpl,54,605.53,0.00,0.00,60.00,240,64.00,729.53,817.0677,3268.27
859,3124,Huleveden tonttiliittymä,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,hv_tonttiliit,9,kpl,54,50.00,0.00,0.00,120.00,1080,160.00,330.00,403.45,3631.05
